protein_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Q9UM73,-4.359846,-10.167815,5.9200206,7.798384,-0.3929228,-6.5169573,11.622801,-0.022604864,-2.6024885,1.5003188,4.027893,-1.2235774,4.680702,-3.798324,-1.863216,-2.2611516,0.36368328,2.632244,6.5278234,1.9704958,2.3580704,9.35992,10.149631,-4.600716,-0.15451787,-1.1851479,-2.1569464,7.0351524,0.31982872,-3.192237,-4.4695206,-2.635005
Q13131,-5.064173,-8.877437,4.6539254,5.767356,0.055286035,-7.3223186,12.488194,0.7511905,-2.2622457,1.3563173,8.677647,0.95316637,1.977784,-2.17947,-1.5224441,-3.8215458,-0.64233226,3.6187742,7.7524753,2.7678468,3.0200062,6.5429535,10.499877,-3.2618823,2.2085946,-0.65340656,0.042389706,4.610533,4.1381617,-3.8603282,-5.7398067,-1.2872269
P54646,-4.8826175,-9.454781,6.2118955,7.389026,-0.00028107624,-7.469816,11.777483,-0.6097598,-4.7692766,-0.5139332,4.751057,-1.711894,3.2982073,-2.5484068,-0.7430714,-1.2697088,-2.140133,1.2897301,4.976294,3.1437943,1.6980679,10.719247,8.453867,-5.020141,0.58418095,-1.1205435,-3.0817587,6.1803226,-2.1005945,-3.117551,-3.8536143,-4.684717
Q8NFD2,-4.810773,-10.025023,5.4201,8.700911,-1.0023239,-5.868152,12.009681,1.1808383,-2.7881389,0.08295214,4.7653275,-1.9055145,2.5968213,-1.1892006,-0.51277727,-2.3326352,-1.9112866,2.1246152,4.0365014,4.1472354,3.6251695,9.962798,10.123192,-4.768316,1.6864736,-0.8143718,-2.4920335,3.4478173,-1.2036258,-5.044647,-5.0667095,-4.2002993
O60285,-2.860101,-10.226068,4.8081036,5.684541,0.4537462,-7.275118,11.561765,-0.023411969,-3.387096,2.4583821,4.2508883,-1.591312,2.2122757,-1.3458145,-2.2303457,-2.3550234,-0.6147536,5.329296,3.5481486,4.7171364,2.5294938,7.803055,11.350699,-5.0485067,2.4262345,-2.225325,-1.2720457,3.9848692,1.5571975,-5.3570404,-7.212342,-4.376424
Q99683,-6.222181,-9.6636095,5.1419997,6.662799,-0.38426954,-7.336089,12.397622,0.5931546,-3.4445934,0.40298882,5.529251,-0.95514625,0.8118317,-0.5451125,0.9613748,-0.7291593,-1.4371066,2.7790744,4.0524445,3.372011,2.7847617,7.233415,10.582492,-5.147844,3.20516,-1.9516717,-2.4912236,4.1022096,-1.134156,-6.2663836,-6.3395457,-4.65654
O95382,-5.4025207,-10.685816,5.0341115,8.322844,-0.98321676,-6.1118603,11.227158,-0.9451377,-3.179491,1.3347507,3.805922,-2.0159137,3.9238765,-1.7050053,-0.3868853,-3.6993036,-1.2059249,3.1644611,4.399822,3.107637,3.6685348,10.0428,9.021496,-3.615383,0.672585,-1.6354315,-2.5506124,3.5425968,-1.4190131,-4.97071,-5.62072,-5.5264606
O14965,-6.1853275,-9.669401,5.5237107,6.2959456,-3.5148807,-4.9729686,13.403876,0.2796191,-4.340149,-0.16409355,4.985902,-1.3282875,2.1294384,-1.6824329,-0.37927034,-3.2233188,-0.7349129,3.2014499,4.5196075,4.2447147,0.3333145,8.96378,10.071679,-5.968001,2.333593,0.052329134,-0.20530556,2.2398703,0.12795104,-5.633034,-4.101831,-3.7348301
Q96GD4,-4.460826,-9.159456,6.0258064,5.6160107,0.6233857,-8.239241,11.025615,1.5241892,-3.2496116,1.6671412,4.4686475,0.17474055,2.7287707,-1.1000733,-0.85494983,-1.096397,-2.4043605,3.6274502,5.0949574,2.827868,3.4594367,8.306796,10.648402,-5.9508076,2.4225297,-0.7997373,-3.8851202,5.0755363,0.29631287,-5.4426484,-5.73755,-4.5523257
Q9UQB9,-2.8649063,-10.722229,5.9944835,7.663119,-2.0206914,-7.0860615,10.420183,1.6696812,-3.7687185,1.0524884,4.5961585,-2.4913573,1.8772006,-2.0459337,-1.5258629,-2.0872624,0.4376436,3.9986432,0.6911584,4.2723365,3.872667,9.1625395,9.808768,-4.477408,1.148977,-1.6352233,-1.9053657,4.4313245,-1.9170235,-5.3814154,-7.3514023,-4.6542873
P30530,-3.8241758,-9.273499,5.829934,7.109703,-0.16272086,-8.85794,10.899583,1.7676083,-2.8898463,1.7595297,5.0900474,-1.3540103,1.857783,-1.116382,-1.4676731,-1.9317613,0.087101,3.4422348,3.3643649,1.6632903,3.4602149,7.546084,11.734407,-4.084328,3.0497358,-1.8831111,-2.7654605,5.7954173,0.24335611,-5.6289663,-6.583491,-3.9786587
Q9NSY1,-5.69261,-10.80803,5.4707875,5.340906,-0.9521811,-7.595465,11.92192,-0.5683918,-4.579838,1.758791,4.31135,-0.25542787,2.4528468,-2.9101095,-0.10147047,-1.8550339,0.32332107,3.4654949,5.806295,2.0131836,1.3331714,7.637909,9.915465,-4.810374,1.33775,-1.5947603,-2.2966685,5.852481,0.41764733,-5.6208267,-5.8441277,-4.249533
Q05D26,-3.4985733,-8.026718,6.7623234,6.7778144,-1.4477229,-8.967986,11.433514,2.4160726,-5.228977,-1.3742911,6.1390147,-1.5122644,2.1675055,-0.5260014,-0.7158261,-2.9670115,-0.9610674,3.8239882,2.7983215,4.2958474,2.2746985,7.8103456,10.135332,-5.3583946,1.6117773,-0.7122366,-1.6938045,5.102082,-1.518647,-5.7770762,-5.660397,-4.48948
P36894,-6.2322745,-10.0274105,4.662853,7.117212,-1.7329923,-7.743666,12.087397,1.34598,-4.118591,-0.8588225,6.1100054,0.035956226,2.1756928,-2.0620813,-0.610291,-4.930758,-1.1642134,3.7166698,5.7639046,2.5925503,2.670491,8.559191,8.649858,-3.4841194,1.297097,-1.9465252,-1.0752826,4.1735277,0.8226397,-4.8540707,-5.844571,-3.4069517
O00238,-6.3066382,-8.972036,6.331055,8.922032,-2.0447,-6.162852,11.801375,1.5391046,-2.2885034,-1.5985914,5.798866,0.33153147,2.182967,-1.9806583,-0.635324,-0.80864966,-2.752853,3.187264,3.7346566,4.577788,3.7640424,8.963274,10.418117,-6.1475244,3.6524289,0.074261904,-1.6248398,3.4924657,-1.1547285,-3.2797952,-4.0041494,-3.0995193
Q13873,-4.9764276,-8.361959,6.993342,7.2895546,-0.94801956,-7.3256884,12.560052,1.5585653,-3.197253,-1.0206006,3.5150537,-0.084445775,2.123077,-1.4829379,0.6031382,-1.504706,-1.9324292,3.1239266,5.600533,4.6564107,2.167801,7.8405247,10.628807,-6.2079744,2.125663,-1.6855292,-2.2899218,4.8954988,-0.11813484,-5.7306533,-4.658705,-3.6983228
P51813,-6.2822948,-10.829552,5.7304645,6.6924887,-0.59172004,-5.6307745,9.959257,0.15076174,-2.663442,2.5711908,5.100176,-1.0468537,3.4236171,-2.7089798,0.56199557,-2.227779,-1.9471674,2.9005885,5.0314384,1.3089314,3.2753525,9.768399,9.874921,-2.9840922,1.4648241,0.3909081,-5.015756,4.585693,-1.0439694,-5.7145643,-5.3093762,-6.1759243
P15056,-6.4747043,-9.701527,6.4827538,7.3103476,-2.2253697,-5.484454,11.926097,0.54759073,-1.9462824,0.26030067,3.6948023,-0.50434804,2.8021803,-1.862664,0.5133546,-2.2782564,-2.9008892,2.8845816,4.789399,3.7243993,2.798149,8.752384,10.232509,-6.2960277,1.7635406,-0.39218274,-2.4111357,2.5828972,-0.96243626,-6.0238447,-5.551922,-3.9388373
Q13882,-4.6924872,-9.440995,5.111835,6.7064033,0.73684126,-7.6130276,12.19968,0.64527494,-4.610441,0.34082666,5.0342665,-1.4913957,2.9297905,-1.4836082,-0.98419297,-1.4020395,-1.3552872,2.755816,5.1252685,3.3882434,1.7774153,9.52903,10.0052595,-5.1286087,1.7274274,-1.4877682,-3.1373518,5.9822,-0.6238983,-4.231288,-4.257589,-4.745211
Q8TDC3,-3.9285338,-10.4774685,5.4528294,5.8541403,0.3328551,-6.4105883,11.9700365,-0.3933777,-5.290401,0.75312114,4.0221972,-0.84178925,3.138722,-2.0392618,-0.63438994,-1.4735461,-2.43382,2.7175906,5.8548546,4.1053085,1.7487118,9.719643,9.340442,-5.4928975,0.3062439,-0.6011596,-3.4646282,5.275974,-0.5714732,-5.0393825,-5.01891,-4.984796
Q8IWQ3,-7.1693735,-10.684867,4.5292554,5.8851366,-0.68663204,-7.135563,11.758364,0.77374226,-3.5262582,0.8703765,6.3093257,-0.34755695,2.7670784,-2.373714,-0.7142316,-2.7677534,-1.982891,2.874332,5.886645,1.337871,2.3080215,9.2692175,9.127336,-4.7374196,1.6280023,-0.67781836,-2.649891,4.5182333,-0.020518193,-4.518713,-5.5791593,-3.916756
Q5JY90,-6.219947,-10.156173,4.628399,7.4982963,-0.09486091,-5.097776,12.724521,0.116945595,-1.7966561,0.609686,5.257225,-1.999816,4.06124,-2.8289046,-0.9328321,-2.8555436,-1.4316343,2.9586132,6.260317,4.742346,1.7986234,10.10352,9.660842,-5.3441377,0.99160874,-0.89984363,-1.054543,3.6028802,0.56749624,-3.2326648,-3.7971296,-3.3030152
Q14012,-4.991253,-8.806467,6.4028397,7.197541,-1.5337499,-7.3954034,11.401019,2.2325788,-2.5426025,-0.6668225,6.687586,-1.2999792,2.6629834,-0.9913964,-1.1757535,-3.6249342,-2.6980443,3.828589,3.925971,3.7951498,3.1669593,8.411938,10.658647,-5.4968,2.3553917,0.33749443,-1.0019662,3.0150042,-0.34061578,-5.1426578,-6.0871363,-3.520257
Q8IU85,-6.291741,-7.894381,8.219287,6.7482333,-2.9432797,-6.460826,10.315981,1.3921257,-1.8643982,0.4193206,7.291407,0.68129784,2.2843823,-2.9723098,-0.6361226,-2.1199157,-3.3955364,4.2071743,3.0327208,1.9791992,3.504472,8.9689,10.362622,-4.557301,2.6768281,0.43096337,-3.4271405,4.637889,-1.148337,-4.4706583,-6.106963,-4.177429
Q96NX5,-4.182138,-8.135547,5.555746,7.2406917,-1.0767254,-7.932481,12.277358,3.4089978,-2.448937,0.89704925,5.7389255,0.43713143,0.5484289,-0.14794374,-0.5139684,-2.409064,-0.83732206,3.5700974,3.412062,4.2628875,5.0135016,7.8469057,10.469807,-4.6318984,2.9222517,-2.7945633,-2.6139605,3.8651283,1.123323,-6.178734,-6.465623,-3.2723985
Q9UQM7,-6.122723,-10.9290285,4.2370167,7.187672,-0.6585272,-5.884445,12.976248,1.4021703,-3.2224722,-0.12606476,5.5486264,-2.1848187,0.93875843,-1.2925766,0.7720021,-2.3518,-0.879701,2.0984297,5.316572,3.9820056,2.113095,8.771901,9.709423,-4.106577,2.2557867,-1.6688222,-1.231509,3.2084692,-0.019979788,-5.8611975,-5.5538826,-4.0654116
Q13554,-5.0252285,-9.623044,7.436844,8.210731,-1.5365925,-6.314714,10.675317,0.5185191,-2.639078,-0.92376894,4.4686375,-1.3107104,2.9074197,-2.594103,0.091721945,-2.4196892,-2.9836624,4.0345,3.8462126,5.0517864,3.4241936,9.831259,9.264911,-4.6255164,1.777726,-0.5748542,-1.8360777,3.5899816,-1.6304679,-4.2806935,-5.4659505,-5.282636
Q13557,-5.7896705,-9.927542,4.838591,6.244932,0.17765202,-7.723943,11.095507,1.834836,-4.1664844,0.946452,5.1496005,1.0304507,3.1688373,-1.8403873,-0.42501563,-0.3243037,-1.7270747,3.1891315,4.7133236,3.4274402,3.2508445,8.477726,10.176264,-6.537642,1.9672807,0.050419584,-4.7824974,5.399369,-0.6600972,-4.8519998,-4.064635,-4.298602
Q13555,-5.274841,-10.880095,4.795875,7.4293156,-1.1794297,-6.689652,11.495692,2.1422052,-4.5513124,-1.6656901,5.9841504,-0.9690606,0.65063924,-1.7220876,0.59842443,-3.3051796,-1.8627043,3.8149285,4.2491813,5.61969,3.1073518,9.4538145,8.297914,-3.0807793,2.5215268,-1.204147,-1.1892431,2.7238636,0.026100544,-5.1116943,-5.378668,-5.248917
Q16566,-5.028596,-9.947191,4.552281,4.3428354,-0.5228296,-7.612364,10.377412,1.2606747,-4.445293,1.6017054,8.1158085,0.03466282,2.5650086,-1.5099137,-2.3439481,-3.830406,-2.8992224,4.9338984,4.122015,2.109553,2.4582949,8.451596,10.272874,-4.3466425,2.493315,1.112688,-2.639285,3.550098,1.1823227,-5.053675,-6.5592246,-4.53479
Q8N5S9,-5.0096135,-9.5906,3.7538455,6.151777,-1.1667268,-6.845515,12.230005,3.2966342,-3.1140552,0.8765038,5.0266185,1.1898749,1.0837619,0.6452706,-0.8936548,-2.8469698,-1.7710589,5.021167,4.3319645,4.3382697,5.3856096,7.7503114,9.549533,-5.6452928,3.0762007,-2.1324434,-1.7093463,1.8802487,1.4301226,-6.2239585,-6.919617,-3.5505314
Q96RR4,-2.9749613,-10.29591,6.732065,7.399802,-0.5034715,-8.142614,9.926642,2.130021,-3.7757242,-0.12652346,5.3483715,-0.35188985,1.7320925,-2.2388313,-0.9772741,-2.0815396,-2.05587,3.732925,3.8698835,3.9461184,4.1348896,8.580235,10.296389,-3.8602884,2.229491,-0.06807629,-2.6212347,4.9404864,0.062425114,-5.0541015,-6.391223,-4.4094954
O14936,-4.352931,-9.615889,7.331548,7.3267426,-0.82704216,-8.318591,11.077354,0.696402,-4.1155787,-1.01666,4.575997,-1.5124274,1.8472033,-1.9579027,0.13434021,-1.8548871,-2.0337355,3.0952992,4.029963,4.325129,2.2328293,8.626446,10.100823,-4.829744,2.5490005,-0.67346823,-1.7666156,4.603652,-1.0641698,-5.175974,-5.453103,-5.0856647
A4VCI5,-5.966818,-9.843904,4.5359626,6.4962993,-2.4143023,-6.0652075,12.935539,1.6559865,-4.4725695,0.8082891,5.5521517,0.4048084,2.752246,-2.476725,-1.4472078,-2.4217038,-0.34462234,3.2481444,4.132098,3.648749,2.542007,10.240841,8.652306,-5.9712753,0.62418836,-1.5403931,-2.8191931,4.663986,-0.19425696,-4.2464633,-4.3793554,-3.199395
Q6P5Y5,-4.222668,-9.783865,5.313799,6.1595325,-1.3031212,-7.608487,11.831886,1.2428136,-4.503271,1.0662098,4.6718,0.5288786,2.3073928,-1.2262483,-1.195767,-2.701014,-0.9864076,4.6454663,4.1987047,4.2192492,3.350474,8.133452,10.167421,-5.54767,1.9815501,-1.2671646,-2.2588127,3.9961762,0.78530324,-5.7635527,-5.994802,-4.1556787
Q9BVE2,-5.338594,-9.821829,4.458495,7.6369724,-0.7270124,-7.126538,12.647241,0.9241452,-3.1756115,0.027744576,4.2329607,0.03047875,1.4187751,-0.3076964,-1.1047753,-2.0079162,-2.551506,3.148239,4.3184943,3.8543055,4.4579144,9.098156,9.272884,-5.613089,2.7857049,-2.8709853,-1.7318845,2.9484034,-0.09039234,-4.6624947,-6.34432,-3.5762393
Q9BWU1,-4.315179,-9.679077,5.5562825,5.4559736,-0.5372226,-7.2074704,10.734205,0.6781933,-2.9987218,1.8021855,3.9393995,-1.509463,4.3695474,-1.0576315,-1.4387623,-4.301992,-1.721317,5.230096,5.0535464,2.4226787,2.1835797,7.4013786,11.155634,-5.590174,0.88536066,-0.40955806,-2.029423,3.8072157,0.32686254,-6.605351,-7.0582075,-4.499818
P24941,-4.6894593,-9.734382,5.5177474,6.8558645,-0.51909506,-6.811617,12.023668,1.5199991,-4.4371915,-0.3635899,4.579816,-0.8428903,3.1358235,-2.0388584,0.0035363883,-2.2222462,-1.5414726,3.1119542,4.790035,5.4954944,2.303011,9.540879,8.997743,-5.814229,0.19870569,-1.018716,-3.0150576,4.6987295,-0.8997431,-5.096795,-4.3870125,-4.5188084
Q00526,-5.091568,-8.23854,7.294679,6.5068035,-3.7188246,-8.080943,11.906634,2.2159545,-5.0795937,-1.3204503,5.9065537,1.1565083,1.7290273,-2.3528988,-0.9534207,-3.4114258,-1.7415138,3.653217,3.4358215,3.7417746,2.3726244,9.207594,8.851588,-5.593648,1.5808194,-0.6927665,-2.0741773,4.5291104,-0.27238828,-4.959169,-4.9806013,-3.4432387
P11802,-3.850499,-10.826699,5.2376375,6.597633,-0.4141785,-7.367468,11.821872,0.5473097,-5.0759535,1.2378705,4.9085784,-0.75652575,1.1479603,-1.7161636,-1.1535729,-0.63914865,-0.6054396,2.7979329,3.904406,3.796659,2.8744874,9.470937,10.062296,-4.529445,3.1104379,-0.9891151,-2.5220852,4.7838197,0.2365362,-4.6628623,-5.0808077,-4.81339
Q00535,-2.6424975,-8.582702,5.784329,7.9318953,0.9506836,-7.7424273,11.926792,1.7918396,-3.1136162,-1.0579926,4.628404,-1.2262818,1.95473,-0.36787274,-1.3878193,-0.47880283,-1.7556335,3.7133193,4.091102,6.6277637,3.1483042,7.436866,11.728056,-6.447568,3.662682,-0.82642365,-0.7077925,4.1243887,0.4588928,-4.0811443,-4.5256863,-3.2726326
P50613,-4.198284,-11.348434,4.6147723,6.659605,-0.57901895,-7.568727,10.90542,1.5208505,-4.7861595,0.46267137,4.469929,-0.8731045,3.3289533,-2.6537914,-2.4646478,-1.8196803,-0.57151693,3.6411126,4.120017,3.6771266,1.6465231,9.135525,10.840176,-6.112527,2.3400037,0.76895314,-2.118237,4.6994104,0.485311,-4.060604,-3.9904256,-3.6586308
P49336,-4.263572,-10.472475,4.935007,6.7261233,-0.3048538,-7.1464677,11.401362,0.59104896,-3.202772,2.4268248,4.9341784,-0.50058484,2.7945158,-2.0986693,-2.3205838,-0.6282442,-0.19766885,3.5385685,3.8812304,1.8409493,3.8251808,8.515204,10.643772,-5.4124174,1.6755216,-1.6854538,-2.8805225,6.091596,-0.3922874,-4.138495,-6.6056576,-3.2679174
P50750,-5.769545,-9.72373,4.905529,6.50517,-0.5043345,-8.330727,10.23325,1.4689311,-5.1160765,-0.72523034,5.837491,1.2894925,2.9724247,-2.0284498,-0.40984625,-3.466124,-3.1148658,4.451219,4.525089,3.5323815,2.6438684,8.335318,9.656802,-4.4772325,1.8025271,0.0039640963,-4.321591,4.588257,-0.12135807,-5.3287373,-4.7825227,-5.1166005
Q00532,-3.3253846,-10.52192,6.344193,8.244859,-1.2770735,-5.9059043,10.403125,1.2743958,-2.8087366,1.0903604,6.453581,-2.0608246,2.8284428,-2.0764945,-2.0000236,-1.6924202,-1.3871721,3.4036431,2.6814182,3.8072097,4.439806,9.9195,10.751346,-4.1987476,2.2037032,1.0936091,-1.9230015,4.029897,-1.1647233,-3.9647675,-5.884275,-4.3317556
Q92772,-5.5934253,-9.588218,4.316621,6.8151083,-1.1102337,-8.101183,12.49918,2.4641676,-3.1229045,-0.83682597,4.914535,-0.7982855,3.2222452,-1.7142017,-1.5814906,-4.820493,-0.18712357,4.2604065,5.906756,3.8239205,1.9234321,7.931446,9.5464325,-5.7447248,1.2943972,-1.9593363,0.34008843,3.76632,1.6937743,-4.49998,-5.0644574,-2.1187413
Q8IVW4,-2.4654424,-10.185618,5.217192,8.095486,-0.43686974,-6.898661,9.627491,2.8881707,-2.8208458,0.23486635,3.901498,-1.9638239,2.9938252,0.104177155,-2.048946,-2.909376,-2.3766403,4.948628,2.2651424,4.303929,5.004694,8.502691,11.1895895,-5.1017346,2.5118341,-0.0008226745,-2.1644979,2.6807814,-0.98506624,-5.802738,-6.937151,-4.8048325
A0A6D2Y6E9,-2.9811566,-8.662636,7.111062,7.3151627,-1.421805,-7.309877,11.693898,0.8722639,-3.5753775,0.79273933,3.4411247,-0.16506092,1.4421545,-0.24729437,-0.87814415,-0.53621316,-1.7205359,3.514916,3.054988,4.004854,3.8705406,7.487796,11.808931,-6.150197,3.3447826,-1.0712047,-2.5261326,4.2143908,-0.58989745,-6.2560816,-6.337511,-4.1386466
O14757,-3.6238158,-8.622396,5.751419,7.1733294,-1.545058,-8.380687,12.257851,2.452482,-3.7040365,0.3693216,4.8276057,-0.3359789,2.511723,-0.94149214,-1.7400582,-4.1578584,0.52782637,3.657708,5.59907,1.9048569,2.9513369,7.3563414,10.910936,-4.3591466,1.617902,-1.8925896,-1.135478,5.572197,1.6110251,-5.73299,-5.849567,-2.4071486
O96017,-3.0661967,-9.81891,6.683457,7.44097,0.13944311,-9.072874,10.15996,2.2287498,-2.9905493,-0.6592579,4.913055,-0.7724504,-0.36719894,-2.0047958,-0.7117024,-1.085012,-1.7497634,4.2091966,2.7615,4.6955147,3.9111161,7.8781667,10.4789715,-3.4291532,4.3477116,-2.3819485,-1.4779246,4.7350974,0.70718044,-4.6303763,-7.046442,-4.4704957
O14578,-6.12307,-10.772633,4.2084913,6.8948383,0.5853196,-9.32208,11.255067,-0.33282667,-3.5679283,-0.41226786,6.38585,-1.1328181,2.2484229,-1.570539,-0.05644572,-3.2237544,-1.5819861,2.5485828,5.1785045,3.1178448,2.0917618,6.1220016,10.497958,-4.719712,2.0599802,-0.76213574,-0.99388677,3.8265057,0.079335734,-5.465227,-6.491841,-3.3293967
P49759,-6.070833,-10.959576,5.299093,5.496374,-0.5528828,-7.180692,11.4686365,1.2975949,-5.0333347,-0.22621933,6.6015334,-0.616141,1.1571941,-2.6109998,0.92673546,-1.5547552,-1.1862632,3.6695905,5.0788374,4.254774,1.8874596,8.8368635,8.652151,-3.9671218,2.3208325,-0.4571421,-2.1391368,4.557398,-0.21473883,-5.016356,-5.1155667,-5.510793
P49760,-5.5520926,-9.959869,4.931131,4.699162,-0.062803894,-6.665546,11.240947,0.10955369,-3.9847965,2.1818578,3.0249658,-0.3271368,3.3757212,-0.68236476,-0.76541305,-1.9952615,-3.291005,3.887818,5.181819,1.7768539,2.2081091,8.906658,10.102595,-6.3004537,1.771853,-0.86076957,-4.3600144,3.8135738,-0.5210593,-6.406021,-6.1072893,-5.576144
P49761,-4.224011,-10.259706,4.891574,5.9127946,-0.33349895,-6.3460846,11.243271,1.8334628,-3.973179,2.1611154,5.4829774,-1.037848,1.0282902,0.111257516,0.47478345,-0.85556114,-1.6885874,2.8680587,2.9506884,3.6377075,4.2842655,8.312911,10.304338,-4.7301455,2.1617556,-0.60953593,-4.3587155,3.4599771,-1.3115292,-7.4750266,-6.9917116,-5.673592
Q9HAZ1,-3.560105,-8.54096,5.688934,7.503607,-0.8812739,-7.2048173,12.134975,2.293328,-4.754439,-1.6667367,4.237007,-2.064825,2.0617063,-0.29090214,-0.680466,-3.4188173,-1.8109449,3.271902,4.313,3.3298464,1.4529566,8.384796,10.696245,-4.5270076,1.4247298,-1.8543092,-2.3985033,5.2277846,-0.99818,-6.3370204,-5.595253,-4.3459287
